DATE,FPCPITOTLZGUSA
2000-01-01,3.376857271
2001-01-01,2.826171119
2002-01-01,1.586031627
2003-01-01,2.270094973
2004-01-01,2.677236693
2005-01-01,3.392746845
2006-01-01,3.225944101
2007-01-01,2.852672482
2008-01-01,3.839100297
2009-01-01,-0.355546266
2010-01-01,1.640043442
2011-01-01,3.156841569
2012-01-01,2.069337265
2013-01-01,1.464832656
2014-01-01,1.622222977
2015-01-01,0.118627136
2016-01-01,1.261583206
2017-01-01,2.130110004
2018-01-01,2.442583297
2019-01-01,1.812210075
2020-01-01,1.233584396
2021-01-01,4.697858864
2022-01-01,8.002799821
